full_time,programming_language,total_experience,position,salary,region,english_level,title,male,company_type,year
1,,8.0,Support,3800.0,Київ,5,Middle,1,Аутсорсингова,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",11600.0,Київ,5,Senior,1,Аутсорсингова,2020
1,Kotlin,8.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",11400.0,Київ,6,Senior,1,Продуктова,2020
1,1С,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",10000.0,Київ,4,Senior,1,Продуктова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",9500.0,Дніпро,5,Middle,1,Продуктова,2020
1,,5.0,"Data Science, Machine Learning, Big Data",8500.0,Київ,6,Senior,1,Інша,2020
0,Ruby,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",10000.0,Львів,6,Senior,0,Продуктова,2020
1,Java,4.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",4000.0,Київ,4,Middle,1,Аутсорсингова,2020
1,,10.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",9000.0,Львів,6,Senior,1,Аутсорсингова,2020
1,JavaScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",10000.0,Харків,6,Senior,1,Аутсорсингова,2020
1,Python,3.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1850.0,Львів,4,Junior,1,Аутсорсингова,2020
1,,4.0,"DevOps, SysAdmin",2500.0,Київ,4,Middle,1,Аутсорсингова,2020
1,,5.0,"DevOps, SysAdmin",3300.0,Не Україна,4,Senior,1,Продуктова,2020
0,,7.0,"Data Science, Machine Learning, Big Data",8000.0,Львів,5,Middle,1,Продуктова,2020
1,,5.0,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",9000.0,Одеса,5,Senior,0,Стартап,2020
1,,5.0,"DevOps, SysAdmin",1500.0,Тернопіль,5,Middle,1,Аутсорсингова,2020
1,,7.0,"Data Science, Machine Learning, Big Data",6700.0,Київ,5,Middle,1,Інша,2020
1,JavaScript,5.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",10000.0,Київ,5,Senior,1,Інша,2020
1,PHP,9.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",10000.0,Київ,5,Senior,1,Продуктова,2020
1,C++,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",10000.0,Київ,5,Tech Lead,1,Продуктова,2020
1,Java,0.25,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1000.0,Київ,3,Intern/Trainee,1,Інша,2020
1,Java,10.0,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",9600.0,Київ,4,Senior,1,Продуктова,2020
1,,10.0,HR,6800.0,Київ,6,Head,1,Продуктова,2020
1,C#,5.0,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",3500.0,Не Україна,6,Middle,0,Продуктова,2020
