timestamp,full_time,region,work_site,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,number_of_employees,total_experience,salary,salary_change,bonus
29/11/2021 09:28,0,Харків,"Частково віддалено, частково в офісі",1,32,Вища,Немає,3,"Marketing, SEO, Copywriter",Middle,,"E-commerce, Fintech, Manufacturing",Аутсорсингова,до 50,6.0,950,350.0,300
29/11/2021 09:29,1,Київ,"Частково віддалено, частково в офісі",0,20,Студент,Немає,5,HR,Junior,,"E-commerce, Edtech",Аутсорсингова,до 200,1.0,800,200.0,
29/11/2021 09:30,1,Черкаси,В офісі,1,26,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,,"E-commerce, Legal",Продуктова,до 200,0.5,788,0.0,
29/11/2021 09:31,1,Київ,"Частково віддалено, частково в офісі",1,19,Середня,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,,Health & Fitness,Продуктова,до 1000,0.5,1200,600.0,
29/11/2021 09:32,1,Суми,Віддалено,1,29,Вища,Немає,4,"DevOps, SysAdmin",Senior,Python,E-commerce,Продуктова,до 200,3.0,4500,1500.0,
29/11/2021 09:32,1,Дніпро,"Частково віддалено, частково в офісі",1,32,Вища,Немає,4,"СTO, Director of Engineering, Program Director, CEO, (co-)founder",,PHP,Web,Аутсорсингова,до 50,1.0,3000,0.0,
29/11/2021 09:32,1,Київ,"Частково віддалено, частково в офісі",1,22,Студент,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,Mobile,Аутсорсингова,до 50,0.5,600,0.0,
29/11/2021 09:35,1,Рівне,Віддалено,1,28,Вища,Немає,4,Designer,Middle,,"Gambling, GameDev",Аутсорсингова,до 200,3.0,1200,300.0,
29/11/2021 09:36,0,Дніпро,"Частково віддалено, частково в офісі",0,22,Студент,Немає,5,"Analyst (Business, Data, System)",Junior,,"Blockchain, Security",Аутсорсингова,до 1000,1.5,1150,650.0,
29/11/2021 09:36,1,Київ,Віддалено,1,33,Середня спеціальна,Немає,5,"DevOps, SysAdmin",Senior,Інше,Real Estate,Аутсорсингова,понад 1000,10.0,3135,285.0,
29/11/2021 09:38,1,Харків,В офісі,0,35,Вища,Немає,4,"Marketing, SEO, Copywriter",Head,,"E-commerce, Medtech, Real Estate",Аутсорсингова,до 200,8.0,1000,350.0,400
29/11/2021 09:39,1,Київ,"Частково віддалено, частково в офісі",0,32,Вища,Немає,5,"Marketing, SEO, Copywriter",Middle,,Fintech,Продуктова,до 200,7.0,1700,850.0,
29/11/2021 09:39,1,Київ,Віддалено,1,32,Вища,Немає,5,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",Junior,,E-government ,Аутсорсингова,до 1000,0.5,900,400.0,
29/11/2021 09:39,1,Київ,"Частково віддалено, частково в офісі",1,36,Середня спеціальна,Немає,4,HR,Middle,,GameDev,Продуктова,понад 1000,6.0,1900,333.0,1577
29/11/2021 09:40,1,Київ,"Частково віддалено, частково в офісі",1,25,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,PHP,Business automation ,Продуктова,до 1000,2.0,1400,500.0,50
29/11/2021 09:41,1,Інше,Віддалено,1,30,Вища,Немає,3,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,"E-commerce, ERP, Internet of Things",Аутсорсингова,до 10 спеціалістів,1.5,1100,300.0,
29/11/2021 09:43,1,Київ,"Частково віддалено, частково в офісі",0,22,Вища,Немає,5,"Data Science, Machine Learning, Big Data",Junior,Python,"Data Science, Machine Learning",Аутсорсингова,до 50,0.5,1080,0.0,
29/11/2021 09:45,1,Київ,Віддалено,1,20,Студент,Немає,5,"DevOps, SysAdmin",Junior,,Security,Аутсорсингова,понад 1000,0.25,750,0.0,
29/11/2021 09:46,1,Львів,Віддалено,1,23,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,Healthcare,Аутсорсингова,понад 1000,1.0,900,650.0,
29/11/2021 09:47,1,Одеса,В офісі,0,21,Вища,Немає,5,"Analyst (Business, Data, System)",Junior,SQL,Automotive,Продуктова,понад 1000,1.0,1000,700.0,
