timestamp,full_time,region,salary,male,age,education,phd,english_level,position,title,programming_language,industry,company_type,total_experience
30/11/2022 10:26,0,Івано-Франківськ,4000,1,29,Вища,Немає,4,"Designer / Artist (Graphic, UX/UI, Game, Artist, Sound etc.)",Team Lead,,Blockchain,Стартап,8.0
30/11/2022 10:26,1,Не Україна,,1,36,Вища,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,Ruby,Public services / Government,Продуктова,3.0
30/11/2022 10:26,1,Київ,2500,1,34,Вища,Немає,2,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,"Adtech / Advertising, Security, Telecom",Продуктова,4.0
30/11/2022 10:27,1,Львів,500,0,23,Вища,Немає,3,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,,Telecom,Продуктова,0.5
30/11/2022 10:27,0,Житомир,2800,0,33,Вища,Немає,5,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,Automotive,Продуктова,6.0
30/11/2022 10:27,1,Київ,5500,1,31,Вища,Немає,3,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,PHP,"E-commerce, Fintech / Banking",Продуктова,8.0
30/11/2022 10:27,1,Київ,1400,1,30,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Middle,,"Media, Mobile",Аутсорсингова,1.5
30/11/2022 10:27,1,Львів,1200,1,24,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Junior,C# / .NET,"E-commerce, Logistics",Аутсорсингова,1.5
30/11/2022 10:28,1,Львів,650,1,27,Вища,Немає,4,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Junior,Python,Automotive,Аутсорсингова,1.0
30/11/2022 10:28,1,Не Україна,,1,17,Студент,Немає,6,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Middle,C# / .NET,Інша,Аутсорсингова,2.0
30/11/2022 10:28,1,Дніпро,6000,1,25,Вища,Немає,5,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,TypeScript,"Dating, E-commerce, Travel",Продуктова,5.0
