timestamp,full_time,salary,title,programming_language,company_type,total_experience,english_level,region,male,categories,position
22/11/2024 11:03,1,800,Middle,TypeScript,Аутсорсингова,2.0,5,Львів,1,QA,Manual QA
22/11/2024 11:04,1,5000,Head,TypeScript,Продуктова,10.0,5,Київ,1,QA,Head of QA
22/11/2024 11:21,1,4300,,C# / .NET,Продуктова,10.0,5,Хмельницький,1,QA,Automation QA / AQA
22/11/2024 13:20,1,6000,Head,Python,Аутсорсингова,15.0,6,Не Україна,1,QA,Head of QA
22/11/2024 13:47,1,2700,Middle,TypeScript,Продуктова,4.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 13:47,1,7000,Senior,Python,Продуктова,8.0,6,Не Україна,1,DevOps,SRE (Site Reliability Engineer)
22/11/2024 16:04,1,7600,Tech Lead,PHP,Аутсорсингова,12.0,5,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 16:06,0,1800,Senior,Java,Аутсорсингова,11.0,3,Харків,1,QA,General QA
22/11/2024 16:06,1,4020,Senior,Java,Продуктова,8.0,5,Львів,1,QA,Automation QA / AQA
22/11/2024 16:07,1,5000,Senior,,Продуктова,4.0,5,Не Україна,1,"UI/UX, Product Design",Product Designer
22/11/2024 16:07,1,1220,Middle,,Аутсорсингова,3.0,6,Львів,1,QA,Manual QA
22/11/2024 16:07,1,650,,,Продуктова,2.0,4,Миколаїв,0,Sales,Lead Generation Specialist
22/11/2024 16:07,1,900,Junior,,Аутсорсингова,1.5,4,Львів,0,QA,General QA
22/11/2024 16:07,1,14250,,,Продуктова,10.0,6,Київ,1,Tech Leadership,Director of Engineering
22/11/2024 16:07,1,6500,Senior,Java,Аутсорсингова,6.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:07,1,3800,Senior,JavaScript,Продуктова,5.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:07,1,1100,Junior,C# / .NET,Державне підприємство / установа,2.0,4,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 16:07,1,5700,Head,,Аутстафінгова,3.0,5,Не Україна,0,Other mgmt,Head of Operations
22/11/2024 16:08,1,3400,Senior,,Продуктова,3.0,6,Київ,1,Product Mgmt,Product Owner (у продакт менеджменті)
22/11/2024 16:08,1,1500,,,Продуктова,5.0,4,Київ,1,HR,HR Manager / HR specialist
22/11/2024 16:08,1,7100,Senior,Kotlin,Продуктова,10.0,5,Львів,1,SE,Software Engineer / Software Developer
22/11/2024 16:08,1,3800,Senior,Java,Продуктова,6.0,5,Вінниця,1,SE,Software Engineer / Software Developer
22/11/2024 16:09,1,5000,Tech Lead,Python,Продуктова,15.0,4,Львів,1,QA,General QA
22/11/2024 16:09,0,2200,Middle,Python,Аутсорсингова,4.0,4,Не Україна,1,QA,Manual QA
22/11/2024 16:09,1,1000,Middle,,Аутстафінгова,3.0,6,Житомир,1,HR,Recruiter / Recruitment Specialist / Technical Recruiter
22/11/2024 16:09,1,1950,,C# / .NET,Державне підприємство / установа,10.0,3,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:10,1,2700,Middle,C,Аутсорсингова,4.0,4,Чернівці,1,SE,Software Engineer / Software Developer
22/11/2024 16:10,1,3000,,,Стартап,3.0,5,Київ,1,Support,Customer Success Manager
22/11/2024 16:10,1,6000,Senior,TypeScript,Продуктова,8.0,5,Львів,0,SE,Software Engineer / Software Developer
22/11/2024 16:11,1,1250,,,Продуктова,4.0,6,Одеса,1,QA,Manual QA
22/11/2024 16:11,1,2500,Middle,,Аутсорсингова,4.0,5,Львів,1,Project Mgmt,Project Manager
22/11/2024 16:11,1,5000,Middle,,Продуктова,5.0,4,Київ,1,DevOps,Infrastructure Engineer
22/11/2024 16:11,1,3092,Senior,C++,Стартап,3.0,5,Київ,1,SE,Software Engineer / Software Developer
22/11/2024 16:11,1,3500,Senior,,Продуктова,7.0,6,Суми,1,QA,General QA
22/11/2024 16:12,1,1200,Junior,SQL,Стартап,0.25,5,Київ,1,Analyst,Marketing Data Analyst / Marketing Analyst
22/11/2024 16:12,1,5500,Senior,C# / .NET,Продуктова,8.0,4,Не Україна,0,QA,Automation QA / AQA
22/11/2024 16:12,1,6000,Tech Lead,TypeScript,Аутсорсингова,9.0,6,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 16:13,1,2200,Middle,TypeScript,Продуктова,3.0,5,Не Україна,1,SE,Software Engineer / Software Developer
22/11/2024 16:13,1,2100,Middle,,Продуктова,2.0,5,Київ,1,Project Mgmt,Project Manager
22/11/2024 16:13,0,2000,Middle,,Аутсорсингова,3.0,5,Тернопіль,0,Project Mgmt,Project Manager
