timestamp,Ваша основна зайнятість в ІТ зараз...,"Зарплата / дохід в IT у $$$ за місяць, лише ставка ЧИСТИМИ - після сплати податків",Оберіть ваш тайтл або роль у компанії,Categories,Position,Розробники -  основна спеціалізація,programming_language,"Основний напрям роботи компанії, в якій працюєте",Загальний стаж роботи за нинішньою ІТ-спеціальністю,english_level,Де ви зараз живете?,В якій області ви зараз живете?,male
22/11/2024 11:03,Працюю full-time,800.0,Middle,QA,Manual QA,,TypeScript,Сервісна (аутсорсингова),2.0,5,В Україні,Львів чи область,0
22/11/2024 11:04,Працюю full-time,5000.0,Head,QA,Head of QA,,TypeScript,Продуктова,10.0,5,В Україні,Київ чи область,0
22/11/2024 11:21,Працюю full-time,4300.0,Lead/Team Lead,QA,Automation QA / AQA,,C# / .NET,Продуктова,10.0,5,В Україні,Хмельницький чи область,0
22/11/2024 13:20,Працюю full-time,6000.0,Head,QA,Head of QA,,Python,Сервісна (аутсорсингова),15.0,6,"За кордоном, але планую повернутися",,0
22/11/2024 13:47,Працюю full-time,2700.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,4.0,5,В Україні,Київ чи область,0
22/11/2024 13:47,Працюю full-time,7000.0,Senior,DevOps,SRE (Site Reliability Engineer),,Python,Продуктова,8.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 16:04,Працюю full-time,7600.0,Tech Lead,SE,Software Engineer / Software Developer,Back-end  розробка,PHP,Сервісна (аутсорсингова),12.0,5,"За кордоном, але планую повернутися",,0
22/11/2024 16:06,Втратив(-ла) роботу і шукаю нову,1800.0,Senior,QA,General QA,,Java,Сервісна (аутсорсингова),11.0,3,В Україні,Харків чи область,0
22/11/2024 16:06,Працюю full-time,4020.0,Senior,QA,Automation QA / AQA,,Java,Продуктова,8.0,5,В Україні,Львів чи область,0
22/11/2024 16:07,Працюю full-time,5000.0,Senior,"UI/UX, Product Design",Product Designer,,,Продуктова,4.0,5,"За кордоном, але планую повернутися",,0
22/11/2024 16:07,Працюю full-time,1220.0,Middle,QA,Manual QA,,,Сервісна (аутсорсингова),3.0,6,В Україні,Львів чи область,0
22/11/2024 16:07,Працюю full-time,650.0,Немає тайтлу,Sales,Lead Generation Specialist,,,Продуктова,2.0,4,В Україні,Миколаїв чи область,0
22/11/2024 16:07,Працюю full-time,900.0,Junior,QA,General QA,,,Сервісна (аутсорсингова),1.5,4,В Україні,Львів чи область,0
22/11/2024 16:07,Працюю full-time,14250.0,CEO / C-level (Chief) / Director / VP,Tech Leadership,Director of Engineering,,,Продуктова,10.0,6,В Україні,Київ чи область,0
22/11/2024 16:07,Працюю full-time,6500.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Сервісна (аутсорсингова),6.0,5,В Україні,Київ чи область,0
22/11/2024 16:07,Працюю full-time,3800.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,JavaScript,Продуктова,5.0,5,В Україні,Київ чи область,0
22/11/2024 16:07,Працюю full-time,1100.0,Junior,SE,Software Engineer / Software Developer,Desktop,C# / .NET,Державне підприємство / установа,2.0,4,В Україні,Львів чи область,0
22/11/2024 16:07,Працюю full-time,5700.0,Head,Other mgmt,Head of Operations,,,Аутстафінгова,3.0,5,"За кордоном, не планую повертатися",,0
22/11/2024 16:08,Працюю full-time,3400.0,Senior,Product Mgmt,Product Owner (у продакт менеджменті),,,Продуктова,3.0,6,В Україні,Київ чи область,0
22/11/2024 16:08,Працюю full-time,1500.0,Немає тайтлу,HR,HR Manager / HR specialist,,,Продуктова,5.0,4,В Україні,Київ чи область,0
22/11/2024 16:08,Працюю full-time,7100.0,Senior,SE,Software Engineer / Software Developer,Mobile розробка,Kotlin,Продуктова,10.0,5,В Україні,Львів чи область,0
22/11/2024 16:08,Працюю full-time,3800.0,Senior,SE,Software Engineer / Software Developer,Back-end  розробка,Java,Продуктова,6.0,5,В Україні,Вінниця чи область,0
22/11/2024 16:09,Працюю full-time,5000.0,Tech Lead,QA,General QA,,Python,Продуктова,15.0,4,В Україні,Львів чи область,0
22/11/2024 16:09,Зараз в неоплачуваній відпустці / бенчі,2200.0,Middle,QA,Manual QA,,Python,Сервісна (аутсорсингова),4.0,4,"За кордоном, не планую повертатися",,0
22/11/2024 16:09,Працюю full-time,1000.0,Middle,HR,Recruiter / Recruitment Specialist / Technical Recruiter,,,Аутстафінгова,3.0,6,В Україні,Житомир чи область,0
22/11/2024 16:09,Працюю full-time,1950.0,Lead/Team Lead,SE,Software Engineer / Software Developer,Full Stack розробка,C# / .NET,Державне підприємство / установа,10.0,3,В Україні,Київ чи область,0
22/11/2024 16:10,Працюю full-time,2700.0,Middle,SE,Software Engineer / Software Developer,Embedded,C,Сервісна (аутсорсингова),4.0,4,В Україні,Чернівці чи область,0
22/11/2024 16:10,Працюю full-time,3000.0,Lead/Team Lead,Support,Customer Success Manager,,,Стартап,3.0,5,В Україні,Київ чи область,0
22/11/2024 16:10,Працюю full-time,6000.0,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,8.0,5,В Україні,Львів чи область,0
22/11/2024 16:11,Працюю full-time,1250.0,Lead/Team Lead,QA,Manual QA,,,Продуктова,4.0,6,В Україні,Одеса чи область,0
22/11/2024 16:11,Працюю full-time,2500.0,Middle,Project Mgmt,Project Manager,,,Сервісна (аутсорсингова),4.0,5,В Україні,Львів чи область,0
22/11/2024 16:11,Працюю full-time,5000.0,Middle,DevOps,Infrastructure Engineer,,Не можу обрати одну основну мову,Продуктова,5.0,4,В Україні,Київ чи область,0
22/11/2024 16:11,Працюю full-time,3092.0,Senior,SE,Software Engineer / Software Developer,,C++,Стартап,3.0,5,В Україні,Київ чи область,0
22/11/2024 16:11,Працюю full-time,3500.0,Senior,QA,General QA,,,Продуктова,7.0,6,В Україні,Суми чи область,0
22/11/2024 16:12,Працюю full-time,1200.0,Junior,Analyst,Marketing Data Analyst / Marketing Analyst,,SQL,Стартап,0.25,5,В Україні,Київ чи область,0
22/11/2024 16:12,Працюю full-time,5500.0,Senior,QA,Automation QA / AQA,,C# / .NET,Продуктова,8.0,4,"За кордоном, але планую повернутися",,0
22/11/2024 16:12,Працюю full-time,6000.0,Tech Lead,SE,Software Engineer / Software Developer,Full Stack розробка,TypeScript,Сервісна (аутсорсингова),9.0,6,"За кордоном, не планую повертатися",,0
22/11/2024 16:13,Працюю full-time,2200.0,Middle,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Продуктова,3.0,5,"За кордоном, не планую повертатися",,0
22/11/2024 16:13,Працюю full-time,2100.0,Middle,Project Mgmt,Project Manager,,,Продуктова,2.0,5,В Україні,Київ чи область,0
22/11/2024 16:13,Втратив(-ла) роботу і шукаю нову,2000.0,Middle,Project Mgmt,Project Manager,,,Сервісна (аутсорсингова),3.0,5,В Україні,Тернопіль чи область,0
22/11/2024 16:14,Працюю full-time,4900.0,Senior,QA,Automation QA / AQA,,Java,Продуктова,10.0,5,"За кордоном, не планую повертатися",,0
22/11/2024 16:14,Працюю full-time,4500.0,Senior,SE,Software Engineer / Software Developer,Front-end  розробка,TypeScript,Сервісна (аутсорсингова),5.0,5,В Україні,Кропивницький чи область,0
22/11/2024 16:15,Працюю full-time,4000.0,Senior,DevOps,DevOps Engineer,,"Мови розробки БД (PL/SQL, Transact-SQL)",Аутстафінгова,7.0,5,"За кордоном, але планую повернутися",,0
22/11/2024 16:15,Працюю full-time,5600.0,Senior,SE,Software Engineer / Software Developer,Salesforce,Salesforce Apex,Сервісна (аутсорсингова),7.0,5,В Україні,Львів чи область,0
22/11/2024 16:16,Працюю full-time,1980.0,Немає тайтлу,"UI/UX, Product Design",UI/UX Researcher,,,Продуктова,1.0,4,В Україні,Київ чи область,0
22/11/2024 16:16,Працюю full-time,2700.0,Middle,Analyst,Data Analyst,,Python,Продуктова,2.0,5,В Україні,Київ чи область,0
22/11/2024 16:16,Працюю full-time,850.0,Junior,SE,Software Engineer / Software Developer,Full Stack розробка,TypeScript,Сервісна (аутсорсингова),2.0,4,В Україні,Дніпро чи область,0
