english_level,full_time,total_experience,company_type,region,title,programming_language,position,male,salary,year
5,1,8.0,Аутсорсингова,Київ,Middle,,Support,1,3800.0,2020
5,1,10.0,Аутсорсингова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,11600.0,2020
6,1,8.0,Продуктова,Київ,Senior,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,11400.0,2020
4,1,10.0,Продуктова,Київ,Senior,1С,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,10000.0,2020
5,1,10.0,Продуктова,Дніпро,Middle,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,9500.0,2020
6,1,5.0,Інша,Київ,Senior,,"Data Science, Machine Learning, Big Data",1,8500.0,2020
6,0,10.0,Продуктова,Львів,Senior,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",0,10000.0,2020
4,1,4.0,Аутсорсингова,Київ,Middle,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,4000.0,2020
6,1,10.0,Аутсорсингова,Львів,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,9000.0,2020
6,1,5.0,Аутсорсингова,Харків,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,10000.0,2020
4,1,3.0,Аутсорсингова,Львів,Junior,Python,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1850.0,2020
4,1,4.0,Аутсорсингова,Київ,Middle,,"DevOps, SysAdmin",1,2500.0,2020
4,1,5.0,Продуктова,Не Україна,Senior,,"DevOps, SysAdmin",1,3300.0,2020
5,0,7.0,Продуктова,Львів,Middle,,"Data Science, Machine Learning, Big Data",1,8000.0,2020
5,1,5.0,Стартап,Одеса,Senior,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",0,9000.0,2020
5,1,5.0,Аутсорсингова,Тернопіль,Middle,,"DevOps, SysAdmin",1,1500.0,2020
5,1,7.0,Інша,Київ,Middle,,"Data Science, Machine Learning, Big Data",1,6700.0,2020
5,1,5.0,Інша,Київ,Senior,JavaScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,10000.0,2020
5,1,9.0,Продуктова,Київ,Senior,PHP,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,10000.0,2020
5,1,10.0,Продуктова,Київ,Tech Lead,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,10000.0,2020
3,1,0.25,Інша,Київ,Intern/Trainee,Java,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1000.0,2020
4,1,10.0,Продуктова,Київ,Senior,Java,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,9600.0,2020
6,1,10.0,Продуктова,Київ,Head,,HR,1,6800.0,2020
6,1,5.0,Продуктова,Не Україна,Middle,C#,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,3500.0,2020
4,1,3.0,Продуктова,Київ,Middle,Python,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,3500.0,2020
5,1,9.0,Стартап,Київ,Tech Lead,Ruby,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,9500.0,2020
6,1,10.0,Продуктова,Київ,Tech Lead,C#/.NET,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,8770.0,2020
6,1,10.0,Стартап,Київ,Tech Lead,C++,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,8700.0,2020
6,1,10.0,Продуктова,Київ,Team Lead,,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",1,8500.0,2020
4,1,2.0,Аутсорсингова,Харків,Junior,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",1,1750.0,2020
6,1,5.0,Продуктова,Київ,Tech Lead,Kotlin,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,8500.0,2020
6,1,5.0,Інша,Київ,Senior,,"Analyst (Business, Data, System)",0,5500.0,2020
6,1,10.0,Аутсорсингова,Київ,Head,,HR,0,6000.0,2020
6,1,10.0,Продуктова,Київ,Senior,,"Data Science, Machine Learning, Big Data",0,6650.0,2020
6,1,10.0,Аутсорсингова,Київ,Team Lead,Python,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,8500.0,2020
5,0,7.0,Аутстафінгова,Київ,Senior,Swift,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,8200.0,2020
6,1,0.5,Аутсорсингова,Львів,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,600.0,2020
6,1,6.0,Продуктова,Київ,Team Lead,,Designer,1,7500.0,2020
5,1,10.0,Продуктова,Харків,Architect,TypeScript,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",1,8000.0,2020
2,1,0.5,Аутсорсингова,Київ,Intern/Trainee,,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",0,560.0,2020
