english_level,timestamp,position,male,title,salary,company_type,region,programming_language,full_time,total_experience,year,title_missing
4,16/12/2020 16:42,"СTO, Director of Engineering, Program Director",1,,1100.0,Продуктова,Львів,,0,3.0,2020,1
4,12/12/2020 16:51,"СTO, Director of Engineering, Program Director",1,,2000.0,Продуктова,Львів,,1,2.0,2020,1
6,15/12/2020 20:35,"СTO, Director of Engineering, Program Director",0,,2000.0,Продуктова,Київ,,1,6.0,2020,1
6,23/12/2020 19:24,"СTO, Director of Engineering, Program Director",1,,2000.0,Аутсорсингова,Львів,,1,8.0,2020,1
4,13/12/2020 17:17,"СTO, Director of Engineering, Program Director",1,,2100.0,Продуктова,Київ,,1,1.0,2020,1
2,16/12/2020 12:25,"СTO, Director of Engineering, Program Director",1,,2250.0,Аутсорсингова,Миколаїв,,1,3.0,2020,1
5,21/12/2020 20:25,"СTO, Director of Engineering, Program Director",1,,2500.0,Інша,Київ,,1,6.0,2020,1
4,07/12/2020 11:12,"СTO, Director of Engineering, Program Director",1,,2700.0,Продуктова,Київ,,1,5.0,2020,1
5,08/12/2020 16:07,"СTO, Director of Engineering, Program Director",1,,2700.0,Продуктова,Київ,,1,10.0,2020,1
3,09/12/2020 17:38,"СTO, Director of Engineering, Program Director",1,,2731.0,Продуктова,Київ,,1,7.0,2020,1
5,07/12/2020 10:42,"СTO, Director of Engineering, Program Director",1,,3000.0,Продуктова,Київ,,1,1.0,2020,1
3,14/12/2020 07:28,"СTO, Director of Engineering, Program Director",1,,3000.0,Продуктова,Полтава,,1,5.0,2020,1
6,17/12/2020 01:38,"СTO, Director of Engineering, Program Director",1,,3000.0,Продуктова,Київ,,1,10.0,2020,1
6,22/12/2020 16:49,"СTO, Director of Engineering, Program Director",1,,3000.0,Аутстафінгова,Київ,,1,10.0,2020,1
5,07/12/2020 14:39,"СTO, Director of Engineering, Program Director",1,,3100.0,Аутсорсингова,Харків,,1,10.0,2020,1
4,03/01/2021 02:07,"СTO, Director of Engineering, Program Director",1,,3200.0,Аутсорсингова,Не Україна,,0,7.0,2020,1
6,08/12/2020 16:40,"СTO, Director of Engineering, Program Director",1,,3300.0,Аутсорсингова,Львів,,1,9.0,2020,1
5,07/12/2020 11:59,"СTO, Director of Engineering, Program Director",1,,3500.0,Продуктова,Київ,,1,10.0,2020,1
6,15/12/2020 10:23,"СTO, Director of Engineering, Program Director",1,,3600.0,Інша,Львів,,1,10.0,2020,1
4,08/12/2020 14:34,"СTO, Director of Engineering, Program Director",1,,3700.0,Аутсорсингова,Харків,,1,10.0,2020,1
4,08/12/2020 19:38,"СTO, Director of Engineering, Program Director",1,,3800.0,Продуктова,Київ,,1,10.0,2020,1
6,10/12/2020 18:07,"СTO, Director of Engineering, Program Director",1,,3800.0,Аутсорсингова,Львів,,1,10.0,2020,1
5,10/12/2020 20:50,"СTO, Director of Engineering, Program Director",1,,3900.0,Аутсорсингова,Київ,,1,2.0,2020,1
6,14/12/2020 16:20,"СTO, Director of Engineering, Program Director",1,,3900.0,Продуктова,Київ,,1,10.0,2020,1
5,07/12/2020 10:12,"СTO, Director of Engineering, Program Director",1,,4000.0,Аутсорсингова,Львів,,1,10.0,2020,1
6,07/12/2020 11:09,"СTO, Director of Engineering, Program Director",1,,4000.0,Продуктова,Київ,,1,10.0,2020,1
4,13/12/2020 01:36,"СTO, Director of Engineering, Program Director",1,,4000.0,Аутстафінгова,Київ,,1,3.0,2020,1
3,13/12/2020 13:09,"СTO, Director of Engineering, Program Director",1,,4000.0,Продуктова,Луцьк,,1,10.0,2020,1
