Отметка времени,Ви працюєте зараз в ІТ?,Де ви мешкаєте?,Де ви працюєте?,Ваша стать,Ваш вік,Яка у вас освіта?,Вкажіть заклад вищої освіти,Знання англійської мови,Оберіть вашу посаду,Ваш тайтл,Вкажіть вашу спеціалізацію,Основна мова програмування,Інші мови програмування,"Фреймворки, бібліотеки та платформи","Платформи, для яких розробляєте на поточному місці роботи?",Ваш тайтл_1,Вкажіть вашу спеціалізацію_2,Яку мову програмування використовуєте у роботі?,Оберіть вашу посаду_3,Ваш тайтл_4,Ваша посада,Ваш тайтл_5,Оберіть вашу посаду_6,Ваш тайтл_7,Ваша посада_8,Ваш тайтл_9,Ваша посада_10,Ваш тайтл_11,Ваша посада_12,Ваш тайтл_13,Ваша посада_14,Ваш тайтл_15,Ваша посада_16,В якій сфері працюєте?,Тип компанії,Кількість спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,У скількох компаніях встигли попрацювати за час ІТ-кар'єри?,"Зарплата у $$$ за місяць, лише ставка після сплати податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Чи отримуєте ви грошові бонуси до зарплати?,Вкажіть суму цього бонуса у $$$ після податків
07/12/2020 13:06,"Так, працюю full-time",Київ,Віддалено,Чоловік,31,Вища,НТУУ «КПІ»,Upper-Intermediate,Support,,,,,,,,,,,,,,,,,,,,,,,,,Telecom,Аутсорсингова,до 1000,8 років,7 років,2,3800,-1520,"Отримую бонус за гарні показники роботи, але нерегулярно",4000
12/12/2020 11:33,"Так, працюю full-time",Київ,Віддалено,Чоловік,36,Вища,ХНУРЕ,Upper-Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Java,JavaScript,,"Web, Desktop",,,,,,,,,,,,,,,,,,,"Fintech, Medtech",Аутсорсингова,понад 1000,10 і більше років,2 роки,05-Jul,11600,5000,Отримую бонус щороку,1000
08/12/2020 20:21,"Так, працюю full-time",Київ,Віддалено,Чоловік,31,Вища,НТУУ «КПІ»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Back-end,Kotlin,"Java, Scala, Інше","Play, Spring",Web,,,,,,,,,,,,,,,,,,,Інша,Продуктова,Лише я,8 років,1 рік,05-Jul,11400,1000,Отримую бонус щомісяця,1100
08/12/2020 12:45,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,33,Вища,КНУБА,Intermediate,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,1С,"C#/.NET, C++, Інше",".NET, .NET Core","Desktop, Mobile other",,,,,,,,,,,,,,,,,,,"E-commerce, ERP, Інша",Продуктова,понад 1000,10 і більше років,3 роки,03-Apr,10000,1000,"Ні, не отримую",
07/12/2020 10:47,"Так, працюю full-time",Дніпро,"Частково віддалено, частково в офісі",Чоловік,42,Вища,,Upper-Intermediate,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Delivery Manager,,,,,,,,,Інша,Продуктова,до 50,10 і більше років,10 і більше років,2,9500,100,Отримую бонус щороку,30000
07/12/2020 12:45,"Так, працюю full-time",Київ,Віддалено,Чоловік,25,Вища,НТУУ «КПІ»,Advanced,"Data Science, Machine Learning, Big Data",,,,,,,,,,,,,,,,,,,,Big Data Engineer,Senior,,,,Інша,Інша,до 10 спеціалістів,5 років,Менше як 3 місяці,03-Apr,8500,3700,"Ні, не отримую",
12/12/2020 14:18,"Так, працюю part-time",Львів,Віддалено,Жінка,32,Вища,НУ «Львівська політехніка»,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,Ruby,JavaScript,"React.js, Ruby on Rails",Web,,,,,,,,,,,,,,,,,,,E-commerce,Продуктова,Лише я,10 і більше років,Пів року,03-Apr,10000,5500,"Ні, не отримую",
07/12/2020 18:45,"Так, працюю full-time",Київ,"Частково віддалено, частково в офісі",Чоловік,31,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Middle,General QA,Java,,,,,,,,,,,,,,,,"Fintech, Telecom",Аутсорсингова,до 200,4 роки,Пів року,8 і більше,4000,1000,"Ні, не отримую",
08/12/2020 08:40,"Так, працюю full-time",Львів,В офісі,Чоловік,30,Вища,ВНТУ,Advanced,"Project/Product/Program Manager, Product Owner, Scrum Master, Delivery Manager",,,,,,,,,,,,,,,,Delivery Manager,Senior,,,,,,,,"Medtech, Mobile",Аутсорсингова,понад 1000,10 і більше років,1 рік,03-Apr,9000,-1000,"Ні, не отримую",0
23/12/2020 14:23,"Так, працюю full-time",Харків,Віддалено,Чоловік,24,Вища,ХНУРЕ,Advanced,"Software Engineer (Junior, Middle, Senior, Team/Tech Lead, Architect)",Senior,Full-stack,JavaScript,"C#/.NET, Go, TypeScript","ASP.NET, Express, Flutter","Web, Mobile cross-platform",,,,,,,,,,,,,,,,,,,Інша,Аутсорсингова,понад 1000,5 років,1 рік,03-Apr,10000,5000,"Ні, не отримую",
11/12/2020 03:26,"Так, працюю full-time",Львів,"Частково віддалено, частково в офісі",Чоловік,38,Вища,Інший виш,Intermediate,"QA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",,,,,,,Junior,Automation QA,Python,,,,,,,,,,,,,,,,"Hardware, Telecom",Аутсорсингова,до 200,3 роки,1 рік,2,1850,0,"Ні, не отримую",0
07/12/2020 10:09,"Так, працюю full-time",Київ,Віддалено,Чоловік,32,Вища,,Intermediate,"DevOps, SysAdmin",,,,,,,,,,,,,,,,,,,,,,DevOps Engineer,Middle,,"Fintech, Legal, Media",Аутсорсингова,понад 1000,4 роки,2 роки,8 і більше,2500,200,"Отримую бонус за гарні показники роботи, але нерегулярно",100
