Timestamp,Ваша основна зайнятість в ІТ зараз...,"Зарплата / дохід у $$$ за місяць, лише ставка 
ЧИСТИМИ - після сплати податків",Оберіть вашу основну посаду,Ваш тайтл на цій посаді,Вкажіть вашу спеціалізацію - Game Design,Вкажіть вашу спеціалізацію - Sound,Вкажіть вашу спеціалізацію - QA,Оберіть вашу посаду - Design,GameDev розробники - оберіть вашу спеціалізацію,Ваша посада - Marketing,Оберіть вашу посаду - HR,Ваша посада - PM,Ваша посада - Analyst,Ваша посада - DS,Ваша посада - DevOps,Ваша посада - Top management,Ваша спеціалізація - Support,Чи використовуєте ви у своїй роботі мови програмування (одну чи декілька)?,Основна мова програмування,Вкажіть вашу основну спеціалізацію,"В якій сфері проєкт, в якому ви зараз працюєте?","Основний напрям роботи компанії, в якій працюєте",Кількість спеціалістів у вашій компанії (в Україні/з України),Загальний стаж роботи за нинішньою ІТ-спеціальністю,Яка у вас освіта?,Знання англійської мови,Де ви зараз живете? ,В якій області ви зараз живете?,Ваша стать,Ваш вік
12/4/2023 9:07:12,Працюю full-time в ІТ-компанії чи ІТ-відділі,4500,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,JavaScript,Front-end  розробка,E-commerce,Аутстафінгова,до 1000,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Суми чи область,Чоловік,28
12/4/2023 9:07:50,Працюю full-time в ІТ-компанії чи ІТ-відділі,7000,"Data Science, Machine Learning, AI, Big Data, Data Engineer",Tech Lead,,,,,,,,,,Data Scientist,,,,"Так, використовую",Python,"Робота з даними, аналіз даних","Big Data, Data Science, Gambling",Продуктова,до 1000,5,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,36
12/4/2023 9:08:11,Працюю full-time в ІТ-компанії чи ІТ-відділі,1750,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,Java,Back-end  розробка,Insurance,Аутсорсингова,до 1000,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Харків чи область,Чоловік,34
12/4/2023 9:08:42,Працюю full-time в ІТ-компанії чи ІТ-відділі,3560,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,Manual QA,,,,,,,,,,,"Так, використовую",Python,QA,"E-commerce, Legal, Public services / Government",Продуктова,до 1000,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,37
12/4/2023 9:09:23,Працюю full-time в ІТ-компанії чи ІТ-відділі,2750,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,Pascal/Delphi,Full Stack розробка,Retail,Продуктова,до 1000,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Київ чи область,Чоловік,34
12/4/2023 9:10:45,Працюю full-time в ІТ-компанії чи ІТ-відділі,750,Software Engineer / Programmer,Junior,,,,,,,,,,,,,,,Go,Back-end  розробка,"Adtech / Advertising, E-commerce",Аутсорсингова,до 50,2,Середня,Intermediate,"За кордоном, але планую повернутися",,Чоловік,18
12/4/2023 9:10:53,Працюю full-time в ІТ-компанії чи ІТ-відділі,2325,Software Engineer / Programmer,Middle,,,,,,,,,,,,,,,Java,Back-end  розробка,Retail,Продуктова,до 50,2,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,32
12/4/2023 9:11:08,Працюю full-time в ІТ-компанії чи ІТ-відділі,7000,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,Dart,Mobile  розробка,Інша,Продуктова,до 50,3,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,"За кордоном, але планую повернутися",,Чоловік,35
12/4/2023 9:11:39,Працюю full-time в ІТ-компанії чи ІТ-відділі,4000,"QA / AQA Engineer (Junior, Middle, Senior, Team/Tech Lead, Manager)",Senior,,,General QA,,,,,,,,,,,"Так, використовую",TypeScript,QA,Public services / Government,Аутстафінгова,до 200,6,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Upper-Intermediate,В Україні,Львів чи область,Чоловік,27
12/4/2023 9:11:44,Працюю full-time в ІТ-компанії чи ІТ-відділі,5300,Software Engineer / Programmer,Senior,,,,,,,,,,,,,,,C# / .NET,Інше,Fintech / Banking / Capital Management,Продуктова,до 50,11,"Вища (бакалавр, спеціаліст, магістр) - одна або декілька",Intermediate,В Україні,Вінниця чи область,Чоловік,33
